价格,描述,区,面积,户型,价格_元
4500 元/月,大兴区-枣园-双河南里尚城北区 /         105.00㎡         /南 北        /           3室1厅1卫         /           中楼层                        （18层）,大兴区-枣园-双河南里尚城北区,105.00,3室1厅1卫,4500.0
7400 元/月,东城区-朝阳门内-朝阳门南小街 /         69.89㎡         /东 西        /           2室1厅1卫         /           低楼层                        （16层）,东城区,69.89,2室1厅1卫,7400.0
12000 元/月,北京经济技术开发区-亦庄河西区-金茂逸墅 /         141.00㎡         /南 北        /           3室2厅2卫         /           低楼层                        （17层）,北京经济技术开发区-亦庄河西区,141.00,3室2厅2卫,12000.0
3300 元/月,通州区-潞苑-通瑞嘉苑东区 /         55.00㎡         /南        /           1室1厅1卫         /           中楼层                        （20层）,通州区-潞苑-通瑞嘉苑东区,55.00,1室1厅1卫,3300.0
4800 元/月,朝阳区-朝阳公园-南十里居 /         69.90㎡         /南 北        /           2室1厅1卫         /           高楼层                        （6层）,朝阳区,69.90,2室1厅1卫,4800.0
3567 元/月,仅剩2间 /                 31.67-32.14㎡         /2间在租        /         1室1厅1卫,,32.14,1室1厅1卫,3567.0
3200 元/月,大兴区-枣园-首开康乃馨城 /         61.91㎡         /南        /           1室1厅1卫         /           高楼层                        （16层）,大兴区,61.91,1室1厅1卫,3200.0
4700 元/月,东城区-广渠门-自由季 /         51.12㎡         /东南        /           1房间1卫         /           中楼层                        （10层）,东城区,51.12,,4700.0
5460 元/月,朝阳区-管庄-丹枫庭 /         80.00㎡         /南        /           2室1厅1卫         /           高楼层                        （15层）,朝阳区,80.00,2室1厅1卫,5460.0
6000 元/月,朝阳区-常营-常营民族家园 /         89.69㎡         /南 北        /           2室1厅1卫         /           中楼层                        （6层）,朝阳区,89.69,2室1厅1卫,6000.0
4200 元/月,石景山区-苹果园-启迪香山 /         49.17㎡         /西        /           3房间2卫         /           高楼层                        （9层）,石景山区,49.17,,4200.0
9800 元/月,朝阳区-朝阳门外-日坛国际公寓 /         79.68㎡         /东        /           2室1厅1卫         /           中楼层                        （18层）,朝阳区,79.68,2室1厅1卫,9800.0
8500 元/月,大兴区-旧宫-朗润园二期 /         103.92㎡         /南 北        /           3室1厅1卫         /           高楼层                        （18层）,大兴区,103.92,3室1厅1卫,8500.0
6600 元/月,朝阳区-安贞-安华西里社区 /         54.88㎡         /南 北        /           2室1厅1卫         /           高楼层                        （6层）,朝阳区-安贞-安华西里社区,54.88,2室1厅1卫,6600.0
9000 元/月,朝阳区-燕莎-华远九都汇 /         68.88㎡         /西        /           2房间1卫         /           低楼层                        （7层）,朝阳区,68.88,,9000.0
2500 元/月,仅剩1间 /                 25.00㎡         /1间在租        /         1室0厅1卫,,25.00,1室0厅1卫,2500.0
7500 元/月,石景山区-苹果园-雍景四季 /         93.21㎡         /东        /           2室1厅1卫         /           高楼层                        （18层）,石景山区,93.21,2室1厅1卫,7500.0
6400 元/月,海淀区-清河-清缘里中区 /         82.60㎡         /东南        /           2室2厅1卫         /           中楼层                        （13层）,海淀区-清河-清缘里中区,82.60,2室2厅1卫,6400.0
7500 元/月,朝阳区-团结湖-团结湖东里 /         82.37㎡         /西南        /           2室1厅1卫         /           高楼层                        （20层）,朝阳区,82.37,2室1厅1卫,7500.0
7500 元/月,海淀区-小西天-索家坟 /         66.00㎡         /南 北        /           2室1厅1卫         /           中楼层                        （5层）,海淀区,66.00,2室1厅1卫,7500.0
5000 元/月,朝阳区-亚运村小营-北湖渠 /         53.79㎡         /南        /           2室1厅1卫         /           低楼层                        （3层）,朝阳区,53.79,2室1厅1卫,5000.0
4500 元/月,丰台区-赵公口-南顶村邮政小区 /         64.38㎡         /南        /           2室1厅1卫         /           高楼层                        （18层）,丰台区-赵公口-南顶村邮政小区,64.38,2室1厅1卫,4500.0
4200 元/月,大兴区-大兴其它-芳泽东路11号院 /         132.68㎡         /南 北        /           4室1厅2卫         /           高楼层                        （15层）,大兴区,132.68,4室1厅2卫,4200.0
7800 元/月,朝阳区-奥林匹克公园-天畅园 /         96.00㎡         /西南        /           2室1厅1卫         /           高楼层                        （11层）,朝阳区,96.00,2室1厅1卫,7800.0
7600 元/月,海淀区-安宁庄-清上园 /         115.67㎡         /西南        /           3室1厅1卫         /           高楼层                        （6层）,海淀区,115.67,3室1厅1卫,7600.0
3500 元/月,通州区-九棵树(家乐福)-大方居 /         89.99㎡         /东        /           2室1厅1卫         /           低楼层                        （22层）,通州区,89.99,2室1厅1卫,3500.0
3051-3143 元/月,仅剩2间 /                 26.08㎡         /2间在租        /         1室1厅1卫,,26.08,1室1厅1卫,3051.0
4800 元/月,丰台区-科技园区-广安康润家园东区 /         88.98㎡         /南 北        /           2室1厅1卫         /           高楼层                        （19层）,丰台区-科技园区-广安康润家园东区,88.98,2室1厅1卫,4800.0
6800 元/月,海淀区-世纪城-晨月园 /         56.99㎡         /南        /           1室1厅1卫         /           低楼层                        （17层）,海淀区,56.99,1室1厅1卫,6800.0
2600 元/月,仅剩1间 /                 30.00㎡         /1间在租        /         1室1厅1卫,,30.00,1室1厅1卫,2600.0
